pitcher,gameid,inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
"McGrath, Sean",20260214-JimPerry-2,6,2,0,2,6.0,3.0,Left,Fastball,BallCalled,92.16,1951.04,5.546,6.040,2.968,-0.5736,-3.6375,17.7236,10.2447,4.176,0.417,-3.6048,-1.8163,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,2,1,2,6.0,4.0,Left,Slider,BallCalled,82.57,2574.28,5.116,5.926,3.224,0.0433,-1.6641,-2.2819,-8.6789,2.253,0.932,-8.0238,-3.2005,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,3,1,3.0,5.0,Right,Fastball,BallCalled,91.63,1964.38,5.739,6.042,2.963,-3.7791,-4.5049,18.0317,8.2887,1.159,-0.550,-6.8582,-3.0285,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,2,2,2,6.0,5.0,Left,Fastball,InPlay,91.39,2008.43,5.771,6.037,2.956,-1.6255,-4.6592,17.3595,9.9826,3.133,-0.558,-4.7877,-2.8810,92.38,FlyBall
"McGrath, Sean",20260214-JimPerry-2,6,1,0,0,4.0,1.0,Right,Fastball,BallCalled,91.39,2151.23,5.784,5.942,3.102,-4.1296,-5.2830,17.8222,10.4697,0.704,-0.955,-7.2553,-3.4199,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,1,0,4.0,2.0,Right,Slider,BallCalled,83.63,2500.54,5.107,5.970,3.267,-2.2406,-3.3603,3.1130,-7.8671,0.663,-0.558,-9.1444,-4.7498,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,2,0,4.0,3.0,Right,Fastball,BallCalled,91.03,2097.52,5.754,5.992,3.050,-3.6611,-5.1300,17.8519,12.7877,1.181,-0.672,-6.8121,-2.8541,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,0,0,0,1.0,1.0,Right,Slider,InPlay,82.67,2532.71,5.005,6.007,3.386,-1.0575,-3.0610,0.1197,-12.5089,1.445,-0.549,-8.7754,-5.2661,82.39,LineDrive
"McGrath, Sean",20260214-JimPerry-2,6,1,3,0,4.0,4.0,Right,Fastball,BallCalled,90.94,2067.26,5.806,6.007,3.002,-2.1003,-5.3320,18.4006,9.6191,2.713,-1.169,-5.1486,-3.6206,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,0,0,5.0,1.0,Right,Slider,StrikeCalled,79.09,2583.15,4.921,5.806,3.469,-0.3075,-2.0468,-2.2564,-14.7071,1.427,0.307,-9.1446,-4.6404,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,0,0,0,2.0,1.0,Left,Slider,FoulBallNotFieldable,82.14,2483.88,5.122,5.909,3.337,0.3013,-2.5641,1.2647,-10.4119,2.730,0.053,-7.2386,-4.4035,43.87,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,0,1,5.0,2.0,Right,Slider,BallCalled,80.98,2660.97,5.022,5.833,3.387,-1.5809,-3.4250,-9.6489,-14.5117,-0.193,-1.058,-11.2895,-5.9881,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,0,0,1,2.0,2.0,Left,Fastball,FoulBallNotFieldable,92.42,2040.69,5.852,5.971,3.110,-2.0350,-3.8195,16.1122,9.2171,2.612,0.324,-5.3970,-2.1716,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,1,1,5.0,3.0,Right,Slider,StrikeCalled,81.30,2588.71,5.110,6.019,3.227,-0.7001,-1.9600,-0.1493,-8.2093,1.665,0.696,-8.7440,-3.4134,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,1,1,1,2,3,Right,Slider,BallCalled,78.46,2776.64,5.438,5.770,3.463,-0.2876,-3.4158,0.4967,-21.7134,1.615,-1.549,-8.7714,-7.2662,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,1,2,1,2,4,Right,Slider,FoulBallNotFieldable,78.41,2643.83,5.131,5.713,3.479,0.9122,-2.6080,0.9357,-18.9836,2.691,-0.561,-7.5597,-5.9587,64.84,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,1,2,2,2,5,Right,Cutter,FoulBallNotFieldable,81.98,2659.52,5.048,5.981,3.372,0.0052,-2.8988,0.5951,-7.1639,2.471,0.039,-7.6093,-4.1625,65.24,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,1,2,2,2,6,Right,Fastball,FoulBallNotFieldable,90.12,2030.65,5.704,6.015,3.015,-1.4863,-4.8700,16.1684,9.3480,3.052,-0.754,-5.0494,-3.2077,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,1,2,2,2,7,Right,Fastball,StrikeCalled,90.44,2150.11,5.765,5.945,3.127,-2.1226,-5.5415,17.2604,16.7678,2.480,-0.650,-5.5041,-2.5594,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,2,0,0,3,1,Left,Fastball,InPlay,92.44,2159.16,5.656,6.051,3.181,-2.2506,-4.7856,19.7651,13.1841,2.794,-0.194,-4.9128,-2.4423,96.76,LineDrive
"McGrath, Sean",20260227-BaggettStadium-1,11,0,1,1,1.0,3.0,Left,ChangeUp,BallCalled,84.53,1912.77,5.889,5.921,3.165,-0.2513,-4.1385,7.2252,10.6821,3.012,0.206,-6.2029,-2.2275,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,3,2,8.0,6.0,Right,Fastball,InPlay,89.30,2082.07,5.840,6.079,3.089,-2.2341,-3.8311,19.1697,1.7117,2.611,-0.334,-5.4202,-3.5254,101.38,GroundBall
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,1,4.0,2.0,Right,Fastball,InPlay,93.02,2123.41,5.484,6.092,3.092,-1.6595,-3.1001,14.4492,6.7619,3.034,0.752,-5.0096,-1.8981,85.94,GroundBall
"McGrath, Sean",20260227-BaggettStadium-1,11,0,2,1,1.0,4.0,Left,FourSeamFastBall,InPlay,91.29,2095.81,5.334,6.101,3.143,-2.0419,-3.9151,16.9015,7.2312,2.727,0.066,-5.3049,-2.6354,107.71,LineDrive
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,0,2.0,1.0,Right,ChangeUp,BallCalled,81.99,1797.81,5.899,5.851,3.244,-1.2513,-4.6188,-0.2352,11.2304,1.197,-0.117,-8.9131,-2.6077,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,0,0,9.0,1.0,Right,Slider,BallCalled,82.82,2523.63,5.212,6.087,3.235,-1.6216,-3.9724,0.0564,-7.3755,1.094,-1.122,-9.0918,-5.2758,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,0,5.0,1.0,Right,Slider,StrikeCalled,83.49,2579.30,5.154,6.108,3.120,0.0635,-3.4536,-0.3991,-8.6943,2.763,-0.860,-7.2818,-4.9882,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,1,0,2.0,2.0,Right,Fastball,StrikeCalled,91.07,2041.37,5.657,6.021,3.138,-3.0188,-4.8219,17.2506,13.8740,1.736,-0.213,-6.3404,-2.3549,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,1,5.0,2.0,Right,Fastball,FoulBallNotFieldable,91.59,2149.83,5.651,6.133,3.031,-2.5669,-4.1026,16.1310,9.7828,2.289,0.013,-5.8024,-2.3611,80.92,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,1,1,2.0,3.0,Right,Cutter,InPlay,83.28,2522.74,5.147,6.025,3.284,-0.2651,-2.5855,2.6724,-6.1271,2.522,0.337,-7.3667,-3.6689,94.12,FlyBall
"McGrath, Sean",20260301-BaggettStadium-1,9,0,1,1,2.0,3.0,Right,Fastball,InPlay,88.40,2022.02,5.779,6.062,3.138,-1.1600,-4.6595,15.5182,10.8222,3.181,-0.305,-5.2682,-2.7308,31.94,Bunt
