inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
5,0,0,0,2,1,Right,ChangeUp,BallCalled,80.3,1604.4,6.588,5.985,-2.672,-3.0945,5.0674,15.4527,-8.2458,0.846,1.297,-8.2817,3.5758,NA,Undefined
5,0,1,0,2,2,Right,FourSeamFastBall,FoulBallNotFieldable,87.17,2102.33,6.163,6.042,-2.409,-3.3743,3.2447,21.457,-6.2063,1.628,0.075,-6.3623,2.1278,88.73,Undefined
4,0,3,2,4,6,Left,FourSeamFastBall,BallCalled,88.03,2069.63,6.496,5.927,-2.267,-3.7533,4.8092,14.9401,-18.0666,0.73,0.653,-7.707,1.5421,NA,Undefined
5,0,1,1,2,3,Right,FourSeamFastBall,BallCalled,87.15,2132.74,6.401,6.08,-2.202,-4.419,4.9113,23.5007,-11.2473,0.846,1.389,-7.1397,2.885,NA,Undefined
5,0,2,1,2,4,Right,FourSeamFastBall,StrikeCalled,87.19,2069.71,6.209,6.145,-2.351,-1.6439,4.6511,22.5861,-14.9406,3.391,0.706,-4.5633,1.9668,NA,Undefined
4,0,0,0,1,1,Left,Slider,BallCalled,76.4,1932.68,5.717,5.773,-2.589,-0.0681,3.36,-3.6682,19.099,1.314,2.136,-9.6866,6.7685,NA,Undefined
4,0,1,0,1,2,Left,FourSeamFastBall,StrikeCalled,89.86,2243.9,6.406,5.959,-2.317,-3.5766,4.3498,21.6579,-12.4369,1.555,0.654,-6.1923,2.1055,NA,Undefined
5,0,2,2,2,5,Right,ChangeUp,StrikeSwinging,79.49,1665.51,5.974,5.879,-2.703,-1.4737,4.153,3.5245,0.3587,0.948,1.184,-9.4247,4.2174,NA,Undefined
4,0,1,1,1,3,Left,Slider,FoulBallNotFieldable,75.36,1894.78,5.971,5.831,-2.8,1.2592,1.4852,1.8087,20.5729,3.004,0.291,-7.6133,5.1798,63.72,Undefined
4,0,1,1,1,4,Left,FourSeamFastBall,FoulBallNotFieldable,88.44,2129.69,6.309,5.976,-2.386,-2.3298,2.7344,20.6353,-11.8226,2.585,-0.851,-5.2234,0.5987,52.32,Undefined
8,1,1,1,3,3,Right,FourSeamFastBall,InPlay,87.26,2056.36,6.205,6.022,-2.007,-1.9598,3.7519,15.1892,-11.8679,2.418,0.472,-6.0323,1.6148,87.32,FlyBall
8,2,0,0,4,1,Right,FourSeamFastBall,BallCalled,87.71,2079.49,6.348,6.141,-2.137,-0.955,4.1037,23.6671,-8.1906,4.217,0.964,-3.436,2.6275,NA,Undefined
8,2,1,0,4,2,Right,FourSeamFastBall,BallCalled,85.94,2043.1,6.172,6.055,-2.262,-1.2687,1.1599,21.6996,-10.737,3.535,-2.085,-4.4144,-0.777,NA,Undefined
8,0,0,0,1,1,Left,FourSeamFastBall,BallCalled,87.81,2089.96,6.709,6.18,-2.131,-1.435,4.6301,18.7083,-12.2584,3.489,1.09,-4.6206,2.4067,NA,Undefined
8,0,1,0,1,2,Left,FourSeamFastBall,BallCalled,88.82,2112.84,6.403,6.072,-1.945,-1.1359,3.2253,22.6532,-8.8784,4.002,0.285,-3.5599,1.6205,NA,Undefined
8,2,2,0,4,3,Right,FourSeamFastBall,BallCalled,85.74,2014.64,6.167,5.972,-2.239,-3.1288,3.4113,13.925,-14.4422,1.076,-0.288,-7.6279,0.8087,NA,Undefined
8,2,3,0,4,4,Right,FourSeamFastBall,StrikeCalled,86.35,2062.27,6.081,6.115,-2.091,-2.1219,2.1011,22.6181,-7.0239,2.899,-0.732,-5.0398,0.8372,NA,Undefined
8,0,2,0,1,3,Left,FourSeamFastBall,StrikeCalled,87.39,2133.59,6.343,5.883,-2.478,-2.6773,4.3058,23.2899,-12.4236,2.333,0.459,-5.2105,2.0668,NA,Undefined
8,0,2,1,1,4,Left,FourSeamFastBall,FoulBallNotFieldable,87.6,2148.57,6.375,6.04,-2.006,-1.7295,3.0834,20.8855,-13.0693,3.202,-0.255,-4.6216,0.7208,61.83,Undefined
8,2,3,1,4,5,Right,FourSeamFastBall,BallCalled,85.12,2013.73,6.156,6.024,-1.969,-3.0015,4.3571,15.7484,-13.5926,1.339,0.932,-7.2998,1.9135,NA,Undefined
8,0,2,2,1,5,Left,FourSeamFastBall,FoulBallNotFieldable,88.65,2119.85,6.243,6.034,-2.012,-1.6893,3.4709,17.8704,-12.4301,3.017,0.158,-5.0365,1.2305,NA,Undefined
8,0,2,2,1,6,Left,Slider,BallCalled,78.65,1763.57,5.842,5.826,-2.437,1.487,2.2238,4.1891,0.0447,3.721,-0.365,-6.2881,2.2318,NA,Undefined
8,0,3,2,1,7,Left,FourSeamFastBall,FoulBallNotFieldable,87.94,2067.86,6.444,6.027,-2.155,-2.4256,4.0188,19.9517,-9.3072,2.491,0.768,-5.436,2.3373,84.74,Undefined
8,0,3,2,1,8,Left,FourSeamFastBall,BallCalled,88.44,2013,6.485,5.974,-2.232,-0.4849,3.3436,20.5408,-11.8887,4.328,-0.149,-3.2868,1.1912,NA,Undefined
8,2,0,0,5,1,Right,FourSeamFastBall,StrikeSwinging,88.12,2174.48,6.087,6.146,-2.319,-1.4897,2.5132,21.439,-11.3891,3.534,-0.942,-4.3713,0.4642,NA,Undefined
8,2,0,1,5,2,Right,FourSeamFastBall,BallCalled,88.93,2146.52,6.172,6.165,-2.182,-3.146,4.0179,16.703,-12.1784,1.698,0.521,-6.6808,1.8273,NA,Undefined
8,0,0,0,2,1,Right,FourSeamFastBall,BallCalled,86.08,1997.12,6.256,6.146,-2.152,-1.3238,2.3177,21.8823,-9.2806,3.648,-0.787,-4.2873,0.6424,NA,Undefined
8,2,1,1,5,3,Right,FourSeamFastBall,FoulBallNotFieldable,86.01,2021.83,5.741,6.056,-2.585,-2.4563,4.1454,15.4377,-16.1862,1.844,-0.067,-6.7717,1.2566,69.17,Undefined
8,2,1,2,5,4,Right,FourSeamFastBall,BallCalled,88.7,2184.65,6.152,6.137,-2.446,-1.0917,2.9412,22.3922,-12.7462,4.033,-0.788,-3.6708,0.6465,NA,Undefined
8,2,2,2,5,5,Right,FourSeamFastBall,InPlay,88.04,2129.39,6.174,6.158,-2.272,-2.2845,2.2664,19.2771,-8.7913,2.662,-0.911,-5.4719,0.6815,99,LineDrive
8,0,1,0,2,2,Right,FourSeamFastBall,FoulBallNotFieldable,86.67,2028.23,6.388,6.197,-2.029,-1.8256,3.0405,22.5433,-7.3931,3.345,0.154,-4.5614,1.7042,69.86,Undefined
8,0,1,1,2,3,Right,ChangeUp,BallCalled,81.92,1820.2,6.639,5.945,-2.371,-1.4412,1.8581,11.4725,-11.5412,2.134,-1.631,-7.1242,-0.2443,NA,Undefined
8,2,0,0,6,1,Left,Slider,BallCalled,79.28,1549.87,5.876,5.856,-2.358,3.0039,2.4707,0.9067,-0.0626,4.89,-0.067,-5.4105,2.4595,NA,Undefined
8,0,2,1,2,4,Right,FourSeamFastBall,StrikeSwinging,86.81,1998.97,6.272,6.122,-2.115,-1.4827,2.7912,20.4711,-7.5927,3.332,-0.172,-4.8175,1.421,NA,Undefined
8,2,1,0,6,2,Left,FourSeamFastBall,BallCalled,86.24,2121.24,6.144,6.152,-2.225,-0.3792,1.9915,17.5378,-12.4485,4.1,-1.421,-4.3073,-0.252,NA,Undefined
8,0,2,2,2,5,Right,FourSeamFastBall,FoulBallNotFieldable,86.85,2023.26,6.186,6.131,-1.958,-1.3422,3.024,20.8171,-12.2929,3.498,-0.188,-4.6018,0.8094,65.38,Undefined
8,2,2,0,6,3,Left,FourSeamFastBall,StrikeCalled,86.54,2075.26,6.041,6.145,-2.304,-2.0223,2.4778,23.0372,-8.8043,3.031,-0.742,-4.938,0.8953,NA,Undefined
8,2,2,1,6,4,Left,FourSeamFastBall,InPlay,85.06,2031.77,6.306,6.142,-2.396,-1.2604,2.352,19.8597,-8.4931,3.41,-0.935,-4.9063,0.8174,64.52,FlyBall
8,0,2,2,2,6,Right,ChangeUp,InPlay,81.53,1540.84,6.875,5.95,-2.357,-1.6513,2.9805,14.1167,-15.4706,2.215,-0.927,-6.7526,0.1538,67.45,FlyBall
8,1,0,0,3,1,Right,FourSeamFastBall,BallCalled,87.74,2088.77,6.118,6.223,-2.158,-0.693,1.4645,22.7266,-10.1984,4.459,-1.654,-3.3339,-0.3728,NA,Undefined
8,1,1,0,3,2,Right,FourSeamFastBall,FoulBallNotFieldable,86.37,1984.96,6.521,6.001,-2.163,-2.3596,3.9739,21.041,-9.527,2.512,0.695,-5.4241,2.25,82.62,Undefined
8,0,2,0,1,3,Right,Fastball,StrikeCalled,91.1,2160.25,6.11,5.902,-2.018,-3.1738,3.492,14.9539,-12.9389,1.412,0.137,-6.675,1.1646,NA,Undefined
8,2,3,2,5,6,Right,Slider,FoulBallNotFieldable,80.74,1574.24,5.501,5.971,-1.986,-1.2118,3.5797,3.6007,1.8928,1.44,1.525,-8.6738,3.9163,NA,Undefined
8,0,2,1,1,4,Right,Fastball,InPlay,90.43,2190.25,5.91,6.009,-1.768,-2.5792,3.349,15.7187,-10.9665,2.058,0.43,-6.0936,1.3838,92.63,LineDrive
8,2,3,2,5,7,Right,Fastball,FoulBallNotFieldable,89.98,2141.07,6.016,6.113,-1.937,-0.9356,3.089,16.8564,-5.3974,3.73,0.477,-4.4259,2.1202,64.86,Undefined
