inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
2,0,1,2,2,5,Left,ChangeUp,StrikeSwinging,83.99,1407.39,6.94,5.96,1.342,-0.633,-1.886,8.1089,10.775,2.873,0.522,-6.3501,0.0874,NA,Undefined
1,2,0,0,3,1,Left,FourSeamFastBall,StrikeCalled,92.12,1845.67,6.62,6.121,1.457,-1.917,-1.6915,14.2384,11.1498,2.867,0.837,-5.3612,0.3375,NA,Undefined
1,2,0,1,3,2,Left,ChangeUp,StrikeSwinging,84.88,1447.63,6.626,5.978,1.467,-1.8161,-2.0705,9.1514,14.0039,1.914,0.737,-7.2418,0.4798,NA,Undefined
2,1,0,0,3,1,Left,ChangeUp,BallCalled,81.88,1275.33,6.76,5.952,1.648,0.8829,-0.6237,5.3031,10.8327,3.839,1.981,-5.72,1.3536,NA,Undefined
1,2,0,2,3,3,Left,ChangeUp,StrikeSwinging,85.71,1475.67,6.679,5.997,1.421,-1.6524,-2.279,7.2842,11.2448,1.97,0.272,-7.3476,-0.2293,NA,Undefined
2,1,1,0,3,2,Left,ChangeUp,InPlay,82.66,1509.36,6.904,5.922,1.398,-0.2977,-1.3827,7.8158,6.9426,3.025,0.717,-6.2587,-0.1119,90.29,FlyBall
1,0,0,0,4,1,Left,FourSeamFastBall,InPlay,92.62,1887.67,6.675,6.091,1.419,-1.6665,-2.3224,11.5818,8.3141,2.89,-0.014,-5.4894,-0.8088,107.07,GroundBall
2,2,0,0,4,1,Right,FourSeamFastBall,BallCalled,92.09,1695.33,6.715,6.158,1.329,-0.0385,-1.968,9.9494,8.4893,4.3,0.236,-4.1897,-0.4212,NA,Undefined
1,0,0,1,4,2,Right,Sinker,StrikeCalled,91.87,1962.4,5.801,5.943,1.685,-2.2933,-3.7858,11.2449,20.3957,1.94,-0.142,-6.4802,-0.1375,NA,Undefined
2,2,1,1,3,4,Right,FourSeamFastBall,BallCalled,91.65,2078.06,5.653,6.102,1.256,-2.3747,-4.6406,17.9945,13.1764,2.427,-1.984,-5.7617,-2.2972,NA,Undefined
1,0,0,2,4,3,Right,Sweeper,InPlay,80.72,2633.46,5.046,5.878,1.827,-0.9492,-0.9362,3.0417,-18.7451,1.485,-0.618,-8.5742,-4.2521,39.32,GroundBall
2,2,2,1,3,5,Right,Sweeper,StrikeSwinging,78.41,2810.5,4.868,5.95,1.737,0.1635,-0.9139,2.1833,-22.5183,2.196,-1.005,-8.3971,-4.8817,NA,Undefined
2,2,0,0,3,6,Left,FourSeamFastBall,BallCalled,84.12,1840.43,6.005,5.985,1.441,-0.7383,-4.0057,15.188,13.0354,3.222,-1.19,-5.4638,-1.6687,NA,Undefined
1,1,0,0,5,1,Right,Sweeper,BallCalled,79.76,2623.15,4.708,5.845,1.862,-1.1835,-0.4759,3.2113,-19.9651,1.091,-0.254,-9.0502,-3.988,NA,Undefined
2,2,1,0,3,7,Left,FourSeamFastBall,BallCalled,92.26,2042.33,5.698,6.062,1.393,-1.8457,-4.3749,13.3483,13.7271,2.609,-1.548,-5.773,-1.9293,NA,Undefined
1,1,1,0,5,2,Right,FourSeamFastBall,BallCalled,91.87,1974.04,5.855,6.045,1.276,-3.2255,-4.394,19.5979,14.5655,1.862,-1.601,-5.9418,-1.7924,NA,Undefined
2,2,2,0,3,8,Left,ChangeUp,StrikeSwinging,83.89,1967.85,5.874,5.954,1.634,-1.6084,-3.0504,9.2876,18.2773,1.855,0.321,-7.437,0.2284,NA,Undefined
1,0,0,0,1,1,Left,FourSeamFastBall,InPlay,90.48,1848.19,5.739,5.879,1.76,-1.5852,-2.2825,12.6582,11.7643,2.574,0.614,-5.6936,-0.1778,106.15,FlyBall
2,2,2,1,3,9,Left,ChangeUp,FoulBallNotFieldable,85.01,1842.11,5.988,5.939,1.482,-0.6966,-3.8336,5.8955,17.2633,2.544,-0.638,-6.8235,-0.7348,NA,Undefined
1,1,2,0,5,3,Right,FourSeamFastBall,BallCalled,92.92,2047.01,5.805,5.911,1.568,-3.878,-5.0592,15.135,15.6473,0.815,-1.846,-7.1895,-2.2695,NA,Undefined
1,1,3,0,5,4,Right,FourSeamFastBall,BallCalled,91.83,2106.92,5.919,6.028,1.384,-2.9201,-4.3264,20.0189,14.6344,2.174,-1.419,-5.5578,-1.709,NA,Undefined
2,2,2,2,3,10,Left,ChangeUp,FoulBallNotFieldable,85.6,1714.29,5.927,5.957,1.443,-2.0841,-3.0911,12.4288,13.7227,1.849,-0.284,-6.9573,-0.6286,74.84,Undefined
1,0,0,0,2,1,Right,Sinker,BallCalled,93.04,1826.47,5.8,5.906,1.615,-2.8427,-3.6196,3.3099,21.5323,0.786,0.038,-8.3062,0.2386,NA,Undefined
2,2,2,2,3,11,Left,FourSeamFastBall,InPlay,91.52,1695.2,5.736,6.078,1.264,-2.2539,-3.8181,13.19,10.9901,2.206,-1.381,-6.2533,-1.8566,79.32,GroundBall
1,0,1,0,2,2,Right,Sinker,BallCalled,91.69,1916.82,5.93,5.77,1.792,-3.0945,-4.1269,12.7772,17.4317,1.161,-0.591,-6.9821,-1.0038,NA,Undefined
1,0,2,0,2,3,Right,FourSeamFastBall,BallCalled,93.1,2024.69,5.806,5.985,1.318,-3.6324,-3.7176,18.1134,13.4894,1.344,-1.02,-6.5199,-1.3067,NA,Undefined
1,0,3,0,2,4,Right,FourSeamFastBall,BallCalled,91.74,1828.2,5.97,5.97,1.597,-2.6986,-4.2227,18.2012,13.8081,2.174,-1.175,-5.6615,-1.75,NA,Undefined
2,0,0,0,1,1,Left,FourSeamFastBall,StrikeSwinging,90.42,2016.62,5.45,6.021,1.717,-2.1798,-2.0746000000000002,23.0668,12.5748,2.937,0.822,-4.6352,0.1619,NA,Undefined
